,zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount,response,coverage,effective to date,employmentstatus,location code,marital status,months since last claim,months since policy inception,number of policies,policy,renew offer type,sales channel,vehicle size,vehicle type
0,north west,m,bachelor,12036.62,44428.0,104.0,0,special auto,suv,499.2,,,,,,,,,,,,,,
1,north west,m,college,4911.46,52796.0,62.0,0,corporate auto,four-door car,297.6,,,,,,,,,,,,,,
2,north west,m,college,8271.91,62912.0,69.0,0,personal auto,two-door car,168.36,,,,,,,,,,,,,,
3,central,f,college,5316.76,28559.0,66.0,0,corporate auto,four-door car,427.24,,,,,,,,,,,,,,
4,east,m,high school or below,15483.53,24661.0,196.0,0,personal auto,luxury suv,1961.16,,,,,,,,,,,,,,
5,west region,f,bachelor,5656.2,45586.0,72.0,0,personal auto,four-door car,203.42,,,,,,,,,,,,,,
6,north west,f,high school or below,3055.7,42406.0,77.0,0,corporate auto,four-door car,108.87,,,,,,,,,,,,,,
7,north west,f,bachelor,9294.55,21370.0,77.0,0,corporate auto,four-door car,105.18,,,,,,,,,,,,,,
8,central,f,bachelor,2504.87,66081.0,64.0,1,personal auto,four-door car,42.03,,,,,,,,,,,,,,
9,north west,m,bachelor,5290.67,36791.0,68.0,0,personal auto,four-door car,326.4,,,,,,,,,,,,,,
10,central,f,doctor,2853.6,87455.0,71.0,0,corporate auto,four-door car,329.24,,,,,,,,,,,,,,
11,east,f,master,4177.67,29133.0,104.0,0,personal auto,sports car,499.2,,,,,,,,,,,,,,
12,north west,m,college,2647.52,37876.0,69.0,0,corporate auto,four-door car,300.06,,,,,,,,,,,,,,
13,north west,f,college,9012.92,67840.0,112.0,0,personal auto,suv,83.24,,,,,,,,,,,,,,
14,north west,f,high school or below,8329.29,30865.0,104.0,0,personal auto,suv,21.26,,,,,,,,,,,,,,
15,north west,m,college,9472.96,38144.0,131.0,0,corporate auto,suv,628.8,,,,,,,,,,,,,,
16,west region,f,bachelor,5498.75,60668.0,138.0,0,personal auto,suv,553.7,,,,,,,,,,,,,,
17,central,f,college,2396.67,26222.0,62.0,0,personal auto,four-door car,297.6,,,,,,,,,,,,,,
18,east,m,college,2580.85,46900.0,66.0,0,personal auto,four-door car,316.8,,,,,,,,,,,,,,
19,central,f,bachelor,30081.37,24626.0,108.0,0,personal auto,suv,225.97,,,,,,,,,,,,,,
20,west region,m,college,11005.02,38144.0,69.0,2,personal auto,four-door car,496.8,,,,,,,,,,,,,,
21,west region,f,bachelor,4739.35,49447.0,119.0,2,personal auto,four-door car,762.01,,,,,,,,,,,,,,
22,east,m,bachelor,2759.98,92296.0,69.0,0,personal auto,two-door car,331.2,,,,,,,,,,,,,,
23,west region,m,bachelor,3792.83,38144.0,104.0,0,personal auto,suv,748.8,,,,,,,,,,,,,,
24,west region,f,college,12840.43,38144.0,90.0,0,personal auto,two-door car,648.0,,,,,,,,,,,,,,
25,east,f,bachelor,13759.15,16794.0,96.0,0,personal auto,four-door car,460.8,,,,,,,,,,,,,,
26,central,m,bachelor,9788.71,31930.0,83.0,0,personal auto,four-door car,37.7,,,,,,,,,,,,,,
27,north west,f,high school or below,2585.44,38144.0,73.0,2,personal auto,four-door car,350.4,,,,,,,,,,,,,,
28,north west,f,high school or below,2535.22,69259.0,63.0,0,personal auto,four-door car,362.52,,,,,,,,,,,,,,
29,west region,m,college,13869.93,28432.0,118.0,0,personal auto,suv,612.3,,,,,,,,,,,,,,
30,central,m,bachelor,8673.59,43963.0,110.0,0,corporate auto,suv,528.0,,,,,,,,,,,,,,
31,west region,m,high school or below,2497.91,29465.0,63.0,0,personal auto,four-door car,302.4,,,,,,,,,,,,,,
32,west region,f,master,5505.69,95766.0,68.0,0,personal auto,four-door car,162.56,,,,,,,,,,,,,,
33,west region,m,bachelor,7261.62,38144.0,101.0,0,corporate auto,suv,727.2,,,,,,,,,,,,,,
34,central,m,high school or below,2996.14,38144.0,82.0,0,corporate auto,four-door car,590.4,,,,,,,,,,,,,,
35,central,f,high school or below,18688.31,38144.0,76.0,0,personal auto,four-door car,364.8,,,,,,,,,,,,,,
36,west region,m,college,3681.25,38144.0,98.0,0,personal auto,four-door car,354.94,,,,,,,,,,,,,,
37,central,m,college,7736.65,68980.0,98.0,0,personal auto,four-door car,464.04,,,,,,,,,,,,,,
38,north west,m,college,5935.57,90263.0,74.0,0,personal auto,two-door car,355.2,,,,,,,,,,,,,,
39,east,f,bachelor,4463.0,38144.0,73.0,3,personal auto,two-door car,350.4,,,,,,,,,,,,,,
40,north west,f,high school or below,10759.4,38144.0,97.0,0,personal auto,two-door car,465.6,,,,,,,,,,,,,,
